Depth (m),EDC3_gas_a (yr),"Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma (ppmv),station,uni,source file
3026.58,611269.0,,257.8,2.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3030.97,616164.0,,252.6,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3036.44,623109.0,,243.3,2.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3040.87,630183.0,,204.4,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3043.07,635364.0,,195.0,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3055.18,658404.0,,187.5,1.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3056.25,659983.0,,185.6,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3057.36,661563.0,,192.1,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3058.47,663133.0,,192.0,2.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3059.55,664597.0,,190.6,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3060.33,665645.0,,178.2,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3060.73,666174.0,,178.5,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3061.36,666995.0,,172.7,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3061.82,667569.0,,171.6,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3062.53,668447.0,,175.6,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3062.93,668934.0,,178.5,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3063.64,669751.0,,185.5,0.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3064.02,670176.0,,189.3,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3064.76,670916.0,,192.6,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3065.12,671286.0,,194.6,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3065.76,671926.0,,192.5,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3066.22,672386.0,,194.8,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3066.93,673095.0,,198.7,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3067.33,673475.0,,202.3,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3068.07,674173.0,,209.2,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3068.42,674521.0,,213.7,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3069.52,675589.0,,220.0,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3070.16,676170.0,,217.4,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3070.62,676524.0,,214.0,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3071.33,677068.0,,215.6,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3071.72,677380.0,,217.4,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3072.44,677984.0,,226.5,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3072.8,678291.0,,230.0,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3073.53,678914.0,,230.8,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3073.93,679252.0,,230.3,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3074.56,679732.0,,223.0,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3075.02,680081.0,,225.0,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3075.73,680608.0,,218.4,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3076.13,680920.0,,216.2,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3076.85,681531.0,,217.3,1.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3077.23,681849.0,,219.7,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3077.93,682446.0,,222.6,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3078.32,682762.0,,221.3,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3078.96,683262.0,,218.7,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3079.43,683612.0,,217.5,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3080.14,684142.0,,217.5,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3080.52,684419.0,,219.4,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3081.25,684949.0,,219.5,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3081.63,685217.0,,219.7,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3082.34,685716.0,,223.5,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3082.72,685980.0,,224.4,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3083.37,686425.0,,224.3,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3083.82,686726.0,,227.3,1.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3084.56,687227.0,,228.7,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3084.92,687470.0,,228.8,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3085.65,687949.0,,232.3,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3086.03,688195.0,,233.0,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3086.73,688652.0,,235.8,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3087.08,688881.0,,234.9,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3087.76,689304.0,,235.8,2.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3088.23,689603.0,,239.9,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3088.93,690057.0,,235.6,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3089.3,690294.0,,234.8,2.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3090.05,690771.0,,240.0,2.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3090.42,690999.0,,234.0,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3091.13,691432.0,,235.6,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3091.52,691672.0,,236.6,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3092.16,692057.0,,235.5,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3092.62,692338.0,,235.9,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3093.33,692765.0,,232.9,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3093.7,692990.0,,234.8,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3094.45,693433.0,,234.1,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3094.8,693639.0,,234.1,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3095.53,694068.0,,235.4,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3095.92,694300.0,,234.4,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3096.56,694672.0,,235.8,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3097.02,694941.0,,236.9,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3097.74,695383.0,,236.7,1.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3098.13,695618.0,,237.6,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3098.85,696062.0,,234.6,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3099.22,696287.0,,234.8,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3099.93,696717.0,,235.4,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3100.32,696963.0,,232.9,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3100.92,697331.0,,232.4,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3101.43,697660.0,,232.2,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3102.13,698120.0,,231.0,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3102.52,698386.0,,228.0,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3103.25,698880.0,,226.4,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3103.57,699102.0,,227.7,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3104.33,699633.0,,227.6,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3104.71,699909.0,,226.0,0.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3105.36,700389.0,,228.7,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3105.82,700744.0,,227.6,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3106.46,701242.0,,228.2,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3106.92,701606.0,,228.8,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3107.64,702158.0,,229.3,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3107.93,702381.0,,230.3,1.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3108.65,702988.0,,232.4,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3109.12,703384.0,,232.8,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3109.75,703934.0,,231.2,1.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3110.07,704211.0,,231.2,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3110.88,704973.0,,233.9,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3111.32,705410.0,,228.5,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3112.05,706141.0,,228.6,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3112.31,706409.0,,228.1,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3115.25,709680.0,,219.7,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3115.72,710237.0,,220.2,0.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3116.42,711104.0,,218.9,1.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3116.68,711421.0,,218.7,1.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3117.81,712833.0,,218.5,0.5,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3118.6,713843.0,,222.3,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3118.95,714288.0,,221.7,2.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3119.67,715180.0,,217.7,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3120.12,715750.0,,222.1,0.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3120.85,716704.0,,208.1,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3121.13,717065.0,,205.0,1.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3121.86,718064.0,,192.9,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3122.32,718779.0,,184.3,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3122.95,719794.0,,187.8,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3123.35,720337.0,,195.2,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3124.06,721318.0,,206.3,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3124.52,722039.0,,211.3,0.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3125.27,723133.0,,213.4,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3125.53,723464.0,,213.2,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3126.27,724445.0,,210.3,2.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3126.72,725059.0,,206.3,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3127.41,725937.0,,206.6,1.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3127.73,726322.0,,208.1,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3128.45,727192.0,,204.5,0.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3128.91,727732.0,,205.5,1.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3129.62,728568.0,,205.1,1.1,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3129.93,728921.0,,205.4,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3131.12,730299.0,,204.0,1.6,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3131.75,730949.0,,204.1,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3132.13,731329.0,,204.9,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3132.92,732141.0,,203.8,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3133.32,732548.0,,205.9,1.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3134.02,733261.0,,203.9,0.7,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3134.33,733543.0,,204.4,0.3,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3135.06,734223.0,,205.3,0.4,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3135.52,734604.0,,207.4,1.9,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3136.19,735167.0,,201.7,1.2,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3136.53,735459.0,,201.3,0.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3137.25,736079.0,,204.1,1.0,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
3137.72,736460.0,,209.7,1.8,moesm31,University of Bern,41586_2008_BFnature06949_MOESM31_ESM.csv
